States,Normalised Length,Normalised H,Normalised S,Normalised C,Normalised Hydrophobic,Normalised Hydrophilic
0,0.461627907,0.43902439,0.456521739,0.333333333,0.311913067,0.184336283
0,0.197674419,0.195121951,0.152173913,0.25,0.103389679,0.066371681
0,0.53372093,0.609756098,0.260869565,0.25,0.039665504,0.02579646
0,0.288372093,0,0,0,0.124631071,0.082566372
0,0.424418605,0.43902439,0.173913043,0.25,0.877023522,0.741504425
0,0.231395349,0.170731707,0.195652174,0,0.694258116,0.680309735
0,0.265116279,0.219512195,0.326086957,0.333333333,0.008362401,0.03539823
0,0.308139535,0,0,0,0.136928718,0.118362832
0,0.475581395,0.512195122,0.173913043,0.333333333,0.109560862,0.07300885
0,0.395348837,1,0.630434783,0.583333333,0.205124765,0.137168142
0,0.345348837,0.219512195,0.47826087,0.166666667,0.076021823,0.064513274
0,0.343023256,0.170731707,0.391304348,0.166666667,0.073204543,0.066371681
0,0.226744186,0.43902439,0.347826087,0.75,0.16934979,0.166637168
0,0.263953488,0.512195122,0.065217391,0,0.123513103,0.090707965
0,0.187209302,0,0,0,0.663491638,0.436946903
0,0.174418605,0.658536585,0.695652174,0.583333333,0.295680172,0.226017699
0,0.573255814,0.414634146,0.391304348,0.5,0.126330382,0.092920354
0,0.161627907,0.170731707,0.130434783,0.166666667,0.148689742,0.125
0,0.851162791,0.219512195,0.043478261,0.166666667,0.015070208,0.013982301
0,0.369767442,0.390243902,0.282608696,0.166666667,0.153161613,0.119070796
0,0.306976744,0.243902439,0.304347826,0.25,0.082148287,0.05380531
0,0.612790698,0.487804878,0.565217391,0.333333333,0.126330382,0.107654867
0,0.58372093,0.512195122,0.630434783,0.333333333,0.153161613,0.094734513
0,0.203488372,0.268292683,0.173913043,0,0.073785887,0.077035398
0,0.331395349,0.43902439,0.217391304,0.166666667,0.072086575,0.05199115
0,0.187209302,0.146341463,0.108695652,0.083333333,0.040246847,0.02800885
0,0.401162791,0.487804878,0.391304348,0.25,0.102271711,0.058982301
0,0.401162791,0.487804878,0.413043478,0.25,0.102853054,0.05420354
0,0.503488372,0.341463415,0.5,0.333333333,0.131920222,0.082566372
0,0.538372093,0.414634146,0.52173913,0.333333333,0.124631071,0.087743363
0,0.353488372,0.195121951,0.304347826,0.416666667,0.046373312,0.032787611
0,0.26627907,0.219512195,0.152173913,0.25,0.073785887,0.058628319
0,0.188372093,0,0.195652174,0.166666667,0.044137376,0.025044248
0,0.396511628,0.390243902,0.434782609,0.583333333,0.102271711,0.068185841
0,0.298837209,0.43902439,0.434782609,0.5,0.303505948,0.262522124
0,0.472093023,0.292682927,0.456521739,0.333333333,0.112914766,0.069690265
0,0.472093023,0.317073171,0.434782609,0.333333333,0.116805295,0.067079646
0,0.48255814,0.341463415,0.5,0.5,0.111215455,0.074115044
0,0.477906977,0.341463415,0.47826087,0.333333333,0.113451391,0.069292035
0,0.356976744,0.268292683,0.304347826,0.583333333,0.088319471,0.061548673
0,0.3,0.195121951,0.434782609,0.083333333,0.067078079,0.045353982
0,0.152325581,0.097560976,0.239130435,0.166666667,0.043600751,0.02800885
0,0.188372093,0.170731707,0.108695652,0.166666667,0.03072176,0.033893805
0,0.061627907,0.048780488,0.130434783,0.166666667,0.127984975,0.125
0,0.595348837,0.512195122,0.391304348,0.5,0.618772918,0.440973451
0,0.08372093,0,0.152173913,0,0.660719077,0.454646018
0,0.68255814,0.780487805,0.260869565,1,0.193408461,0.153362832
0,0.652325581,0.756097561,0.217391304,0.416666667,0.331455147,0.247035398
0,1,0.975609756,1,0.666666667,0.251542796,0.146017699
0,0.358139535,0.341463415,0.326086957,0.166666667,0.162105357,0.15300885
0,0.925581395,0.195121951,0.086956522,0,0.221894285,0.14159292
0,0.389534884,0.585365854,0.239130435,0.166666667,0.087201503,0.060442478
0,0.368604651,0.414634146,0.347826087,0.166666667,0.086620159,0.060442478
0,0.343023256,0.341463415,0.304347826,0.166666667,0.072086575,0.050486726
0,0.520930233,0.487804878,0.260869565,0.5,0.131920222,0.079247788
0,0.520930233,0.487804878,0.239130435,0.583333333,0.131338878,0.079646018
0,0.520930233,0.536585366,0.217391304,0.666666667,0.134692782,0.076327434
0,0.520930233,0.536585366,0.282608696,0.5,0.12185851,0.084424779
0,0.519767442,0.512195122,0.326086957,0.416666667,0.12744835,0.080752212
0,0.522093023,0.512195122,0.282608696,0.666666667,0.126867007,0.081106195
1,0.189534884,0.243902439,0.02173913,0.333333333,0.143636526,0.118716814
1,0.244186047,0.048780488,0.282608696,0.25,0.044137376,0.035
1,0.105813953,0.048780488,0.195652174,0.083333333,0.01395224,0.01880531
1,0.105813953,0.073170732,0.108695652,0.083333333,0.022895984,0.012876106
1,0.03255814,0.024390244,0.108695652,0,0.000536625,0.000707965
1,0.090697674,0.097560976,0.086956522,0,0.01954208,0.010309735
1,0.112790698,0.024390244,0.260869565,0,0.023477328,0.014734513
1,0.081395349,0.097560976,0.173913043,0.166666667,0.014533584,0.010663717
1,0.161627907,0.12195122,0.260869565,0.166666667,0.030185135,0.02579646
