Alcohol,malic acid, ash,alcalinity of ash,, total phenols, flavanoids, nonflavanoid phenols, proanthocyanins, color intensity, hue diluted wines,,,
1,0.1423,0.171,0.243,0.156,0.127,0.28,0.306,0.28,0.229,0.0564,0.104,0.392,0.1065
1,0.132,0.178,0.214,0.112,0.1,0.265,0.276,0.26,0.128,0.0438,0.105,0.34,0.105
1,0.1316,0.236,0.267,0.186,0.101,0.28,0.324,0.3,0.281,0.0568,0.103,0.317,0.1185
1,0.1437,0.195,0.25,0.168,0.113,0.385,0.349,0.24,0.218,0.078,0.086,0.345,0.148
1,0.1324,0.259,0.287,0.21,0.118,0.28,0.269,0.39,0.182,0.0432,0.104,0.293,0.0735
1,0.142,0.176,0.245,0.152,0.112,0.327,0.339,0.34,0.197,0.0675,0.105,0.285,0.145
1,0.1439,0.187,0.245,0.146,0.096,0.25,0.252,0.3,0.198,0.0525,0.102,0.358,0.129
1,0.1406,0.215,0.261,0.176,0.121,0.26,0.251,0.31,0.125,0.0505,0.106,0.358,0.1295
1,0.1483,0.164,0.217,0.14,0.097,0.28,0.298,0.29,0.198,0.052,0.108,0.285,0.1045
1,0.1386,0.135,0.227,0.16,0.098,0.298,0.315,0.22,0.185,0.0722,0.101,0.355,0.1045
1,0.141,0.216,0.23,0.18,0.105,0.295,0.332,0.22,0.238,0.0575,0.125,0.317,0.151
1,0.1412,0.148,0.232,0.168,0.095,0.22,0.243,0.26,0.157,0.05,0.117,0.282,0.128
1,0.1375,0.173,0.241,0.16,0.089,0.26,0.276,0.29,0.181,0.056,0.115,0.29,0.132
1,0.1475,0.173,0.239,0.114,0.091,0.31,0.369,0.43,0.281,0.054,0.125,0.273,0.115
1,0.1438,0.187,0.238,0.12,0.102,0.33,0.364,0.29,0.296,0.075,0.12,0.3,0.1547
1,0.1363,0.181,0.27,0.172,0.112,0.285,0.291,0.3,0.146,0.073,0.128,0.288,0.131
1,0.143,0.192,0.272,0.2,0.12,0.28,0.314,0.33,0.197,0.062,0.107,0.265,0.128
1,0.1383,0.157,0.262,0.2,0.115,0.295,0.34,0.4,0.172,0.066,0.113,0.257,0.113
1,0.1419,0.159,0.248,0.165,0.108,0.33,0.393,0.32,0.186,0.087,0.123,0.282,0.168
1,0.1364,0.31,0.256,0.152,0.116,0.27,0.303,0.17,0.166,0.051,0.096,0.336,0.0845
1,0.1406,0.163,0.228,0.16,0.126,0.3,0.317,0.24,0.21,0.0565,0.109,0.371,0.078
